n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.6923076923076923,0.7142857142857143
30,3,0.05,0.6923076923076923,0.7142857142857143
30,3,0.1,0.6923076923076923,0.7142857142857143
20,5,0.1,0.6923076923076923,0.7142857142857143
20,3,0.1,0.6923076923076923,0.7142857142857143
10,5,0.1,0.6923076923076923,0.7142857142857143
10,3,0.1,0.6923076923076923,0.7142857142857143
30,5,0.05,0.6923076923076923,0.7142857142857143
30,5,0.1,0.6923076923076923,0.7142857142857143
20,3,0.05,0.6923076923076923,0.7142857142857143
10,5,0.05,0.6923076923076923,0.7142857142857143
10,3,0.05,0.6923076923076923,0.7142857142857143
30,5,0.01,0.6923076923076923,0.7142857142857143
30,3,0.01,0.6923076923076923,0.7142857142857143
20,5,0.01,0.6923076923076923,0.7142857142857143
20,3,0.01,0.6923076923076923,0.7142857142857143
10,5,0.01,0.6153846153846154,0.0
10,3,0.01,0.6153846153846154,0.0
