n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.05,0.84375,0.8888888888888888
30,5,0.1,0.84375,0.8837209302325582
30,3,0.1,0.84375,0.8837209302325582
20,5,0.1,0.84375,0.8837209302325582
20,3,0.1,0.84375,0.8837209302325582
20,3,0.05,0.8125,0.8695652173913043
10,3,0.1,0.8125,0.8695652173913043
20,5,0.05,0.8125,0.8695652173913043
30,5,0.05,0.8125,0.8636363636363636
10,5,0.1,0.78125,0.8444444444444444
10,5,0.05,0.75,0.8333333333333334
10,3,0.05,0.75,0.8333333333333334
30,5,0.01,0.75,0.8333333333333334
30,3,0.01,0.75,0.8333333333333334
10,5,0.01,0.625,0.7692307692307693
20,5,0.01,0.625,0.7692307692307693
20,3,0.01,0.625,0.7692307692307693
10,3,0.01,0.625,0.7692307692307693
