n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.6976744186046512,0.38095238095238093
30,3,0.1,0.6976744186046512,0.38095238095238093
20,5,0.1,0.6976744186046512,0.38095238095238093
10,3,0.05,0.7209302325581395,0.3333333333333333
20,3,0.05,0.7209302325581395,0.3333333333333333
10,5,0.05,0.7209302325581395,0.3333333333333333
20,5,0.05,0.7209302325581395,0.3333333333333333
30,3,0.05,0.6976744186046512,0.3157894736842105
30,5,0.05,0.6976744186046512,0.3157894736842105
10,3,0.1,0.6976744186046512,0.3157894736842105
10,5,0.1,0.6976744186046512,0.3157894736842105
20,3,0.1,0.6744186046511628,0.3
30,5,0.01,0.7209302325581395,0.0
30,3,0.01,0.7209302325581395,0.0
10,5,0.01,0.7209302325581395,0.0
20,5,0.01,0.7209302325581395,0.0
20,3,0.01,0.7209302325581395,0.0
10,3,0.01,0.7209302325581395,0.0
