n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.6923076923076923,0.6666666666666666
20,3,0.1,0.6730769230769231,0.6666666666666666
20,5,0.1,0.6730769230769231,0.6530612244897959
20,3,0.01,0.5961538461538461,0.6440677966101694
10,3,0.05,0.6153846153846154,0.6428571428571429
20,3,0.05,0.6346153846153846,0.6415094339622641
30,3,0.05,0.6346153846153846,0.6415094339622641
10,5,0.1,0.6538461538461539,0.64
30,3,0.01,0.5961538461538461,0.631578947368421
10,5,0.05,0.6153846153846154,0.6296296296296297
10,3,0.1,0.6153846153846154,0.6296296296296297
30,5,0.05,0.6346153846153846,0.6274509803921569
30,3,0.1,0.6153846153846154,0.6153846153846154
20,5,0.05,0.5961538461538461,0.6037735849056604
20,5,0.01,0.5,0.59375
10,5,0.01,0.40384615384615385,0.5753424657534246
10,3,0.01,0.40384615384615385,0.5753424657534246
30,5,0.01,0.5,0.5666666666666667
