n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.8043478260869565,0.7567567567567568
30,3,0.05,0.8043478260869565,0.7428571428571429
30,3,0.1,0.8043478260869565,0.7428571428571429
20,5,0.1,0.8043478260869565,0.7428571428571429
20,3,0.1,0.8043478260869565,0.7428571428571429
30,5,0.05,0.8043478260869565,0.7428571428571429
10,5,0.1,0.782608695652174,0.7222222222222222
10,3,0.1,0.782608695652174,0.7222222222222222
20,5,0.05,0.782608695652174,0.7222222222222222
20,3,0.05,0.782608695652174,0.7222222222222222
10,5,0.05,0.782608695652174,0.7058823529411765
10,3,0.05,0.782608695652174,0.7058823529411765
30,5,0.01,0.7391304347826086,0.625
30,3,0.01,0.7391304347826086,0.625
20,5,0.01,0.717391304347826,0.5806451612903226
20,3,0.01,0.717391304347826,0.5806451612903226
10,5,0.01,0.6304347826086957,0.37037037037037035
10,3,0.01,0.6304347826086957,0.37037037037037035
