n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.8392857142857143,0.8831168831168831
10,5,0.1,0.8392857142857143,0.8831168831168831
10,3,0.05,0.8392857142857143,0.8831168831168831
10,3,0.1,0.8392857142857143,0.8831168831168831
20,3,0.05,0.8392857142857143,0.8831168831168831
30,3,0.05,0.8214285714285714,0.868421052631579
30,5,0.05,0.8214285714285714,0.868421052631579
30,3,0.1,0.8214285714285714,0.8648648648648649
20,3,0.1,0.8214285714285714,0.8648648648648649
20,5,0.1,0.8035714285714286,0.8533333333333334
30,5,0.1,0.8035714285714286,0.8533333333333334
10,5,0.05,0.7857142857142857,0.85
30,5,0.01,0.6785714285714286,0.7906976744186046
30,3,0.01,0.6785714285714286,0.7906976744186046
10,5,0.01,0.6428571428571429,0.782608695652174
20,5,0.01,0.6428571428571429,0.782608695652174
20,3,0.01,0.6428571428571429,0.782608695652174
10,3,0.01,0.6428571428571429,0.782608695652174
