n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,1.0,1.0
30,3,0.1,1.0,1.0
20,5,0.1,1.0,1.0
20,3,0.1,1.0,1.0
30,3,0.05,0.9583333333333334,0.9230769230769231
30,5,0.05,0.9583333333333334,0.9230769230769231
10,5,0.1,0.9166666666666666,0.8333333333333334
10,3,0.1,0.9166666666666666,0.8333333333333334
20,5,0.05,0.9166666666666666,0.8333333333333334
20,3,0.05,0.9166666666666666,0.8333333333333334
10,5,0.05,0.875,0.7692307692307693
10,3,0.05,0.875,0.7692307692307693
30,5,0.01,0.875,0.7692307692307693
30,3,0.01,0.875,0.7692307692307693
20,5,0.01,0.8333333333333334,0.6666666666666666
20,3,0.01,0.8333333333333334,0.6666666666666666
10,5,0.01,0.75,0.25
10,3,0.01,0.75,0.25
