n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.1,0.92,0.9166666666666666
30,5,0.1,0.88,0.88
20,5,0.1,0.8,0.8148148148148148
30,3,0.05,0.8,0.8
10,5,0.1,0.8,0.8
30,5,0.05,0.8,0.8
20,3,0.1,0.76,0.7692307692307693
10,3,0.1,0.76,0.7692307692307693
20,5,0.05,0.76,0.7692307692307693
20,3,0.05,0.76,0.7692307692307693
10,5,0.05,0.72,0.72
10,3,0.05,0.72,0.72
30,5,0.01,0.72,0.72
30,3,0.01,0.72,0.72
20,5,0.01,0.72,0.6956521739130435
20,3,0.01,0.72,0.6956521739130435
10,5,0.01,0.6,0.5
10,3,0.01,0.6,0.5
