n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.1,0.7608695652173914,0.5217391304347826
30,3,0.1,0.7608695652173914,0.47619047619047616
20,3,0.1,0.7608695652173914,0.47619047619047616
30,3,0.05,0.7391304347826086,0.4
30,5,0.1,0.6304347826086957,0.32
30,5,0.05,0.717391304347826,0.3157894736842105
10,5,0.01,0.6739130434782609,0.0
10,5,0.1,0.6739130434782609,0.0
10,3,0.1,0.6739130434782609,0.0
10,3,0.01,0.6739130434782609,0.0
20,3,0.05,0.6739130434782609,0.0
10,5,0.05,0.6739130434782609,0.0
10,3,0.05,0.6739130434782609,0.0
30,5,0.01,0.6739130434782609,0.0
30,3,0.01,0.6739130434782609,0.0
20,5,0.01,0.6739130434782609,0.0
20,3,0.01,0.6739130434782609,0.0
20,5,0.05,0.6739130434782609,0.0
