n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.8478260869565217,0.8627450980392157
30,3,0.1,0.8478260869565217,0.8627450980392157
20,5,0.1,0.8478260869565217,0.8627450980392157
30,3,0.05,0.8260869565217391,0.8461538461538461
20,3,0.1,0.8260869565217391,0.8461538461538461
30,5,0.05,0.8260869565217391,0.8461538461538461
10,5,0.1,0.8043478260869565,0.8301886792452831
10,3,0.1,0.8043478260869565,0.8301886792452831
20,5,0.05,0.8043478260869565,0.8301886792452831
20,3,0.05,0.8043478260869565,0.8301886792452831
10,5,0.05,0.782608695652174,0.8148148148148148
10,3,0.05,0.782608695652174,0.8148148148148148
30,5,0.01,0.782608695652174,0.8148148148148148
30,3,0.01,0.782608695652174,0.8148148148148148
20,5,0.01,0.782608695652174,0.8148148148148148
20,3,0.01,0.782608695652174,0.8148148148148148
10,5,0.01,0.4782608695652174,0.6470588235294118
10,3,0.01,0.4782608695652174,0.6470588235294118
