n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.7333333333333333,0.7857142857142857
20,3,0.05,0.7111111111111111,0.7796610169491526
20,5,0.05,0.7111111111111111,0.7796610169491526
30,5,0.05,0.7111111111111111,0.7719298245614035
10,3,0.1,0.7111111111111111,0.7719298245614035
10,5,0.1,0.6888888888888889,0.7586206896551724
30,3,0.05,0.6888888888888889,0.75
20,3,0.1,0.6888888888888889,0.75
20,5,0.1,0.6888888888888889,0.75
30,3,0.1,0.6888888888888889,0.75
10,3,0.05,0.6444444444444445,0.7419354838709677
10,5,0.05,0.6444444444444445,0.7419354838709677
20,5,0.01,0.5111111111111111,0.6764705882352942
30,3,0.01,0.5111111111111111,0.6764705882352942
30,5,0.01,0.5111111111111111,0.6764705882352942
20,3,0.01,0.5111111111111111,0.6764705882352942
10,5,0.01,0.5111111111111111,0.6764705882352942
10,3,0.01,0.5111111111111111,0.6764705882352942
