n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.8536585365853658,0.85
30,3,0.1,0.8536585365853658,0.85
30,3,0.05,0.8292682926829268,0.8292682926829268
20,5,0.1,0.8292682926829268,0.8292682926829268
20,3,0.1,0.8292682926829268,0.8292682926829268
30,5,0.05,0.8292682926829268,0.8292682926829268
30,5,0.1,0.8292682926829268,0.8292682926829268
20,3,0.05,0.8292682926829268,0.8205128205128205
10,3,0.1,0.8048780487804879,0.8
10,5,0.1,0.8048780487804879,0.8
10,5,0.05,0.7804878048780488,0.7428571428571429
10,3,0.05,0.7804878048780488,0.7428571428571429
30,5,0.01,0.7560975609756098,0.7058823529411765
30,3,0.01,0.7560975609756098,0.7058823529411765
20,5,0.01,0.7073170731707317,0.6
20,3,0.01,0.7073170731707317,0.6
10,5,0.01,0.4878048780487805,0.0
10,3,0.01,0.4878048780487805,0.0
