n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.1,0.8333333333333334,0.9
30,5,0.1,0.8333333333333334,0.8947368421052632
10,5,0.05,0.7916666666666666,0.8837209302325582
10,5,0.1,0.7916666666666666,0.8837209302325582
10,3,0.1,0.7916666666666666,0.8837209302325582
10,5,0.01,0.7916666666666666,0.8837209302325582
10,3,0.01,0.7916666666666666,0.8837209302325582
10,3,0.05,0.7916666666666666,0.8837209302325582
30,5,0.01,0.7916666666666666,0.8837209302325582
30,3,0.01,0.7916666666666666,0.8837209302325582
20,5,0.01,0.7916666666666666,0.8837209302325582
20,3,0.01,0.7916666666666666,0.8837209302325582
20,5,0.05,0.7916666666666666,0.8837209302325582
30,3,0.05,0.7916666666666666,0.8780487804878049
30,5,0.05,0.7916666666666666,0.8780487804878049
20,3,0.1,0.7916666666666666,0.8780487804878049
20,5,0.1,0.7916666666666666,0.8780487804878049
20,3,0.05,0.75,0.8571428571428571
