n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.875,0.7586206896551724
30,5,0.05,0.875,0.7586206896551724
10,5,0.1,0.875,0.7586206896551724
10,3,0.05,0.875,0.7586206896551724
10,5,0.05,0.875,0.7586206896551724
20,3,0.05,0.875,0.7586206896551724
10,3,0.1,0.875,0.7586206896551724
30,3,0.05,0.875,0.7586206896551724
30,3,0.1,0.8571428571428571,0.7333333333333333
20,5,0.1,0.8571428571428571,0.7333333333333333
20,3,0.1,0.8571428571428571,0.7333333333333333
30,5,0.1,0.8571428571428571,0.7333333333333333
30,3,0.01,0.8571428571428571,0.6923076923076923
30,5,0.01,0.8392857142857143,0.64
10,5,0.01,0.6964285714285714,0.0
20,5,0.01,0.6964285714285714,0.0
20,3,0.01,0.6964285714285714,0.0
10,3,0.01,0.6964285714285714,0.0
