n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.01,0.9545454545454546,0.9333333333333333
30,5,0.01,0.9545454545454546,0.9333333333333333
20,5,0.05,0.9393939393939394,0.9230769230769231
10,5,0.1,0.9393939393939394,0.9230769230769231
30,3,0.1,0.9393939393939394,0.9230769230769231
20,5,0.1,0.9393939393939394,0.9230769230769231
10,3,0.05,0.9393939393939394,0.9230769230769231
10,5,0.05,0.9393939393939394,0.9230769230769231
20,3,0.05,0.9393939393939394,0.9230769230769231
20,3,0.1,0.9393939393939394,0.9230769230769231
30,3,0.05,0.9393939393939394,0.9230769230769231
30,5,0.05,0.9393939393939394,0.9230769230769231
10,3,0.1,0.9393939393939394,0.9230769230769231
30,5,0.1,0.9242424242424242,0.9056603773584906
20,3,0.01,0.7727272727272727,0.5454545454545454
20,5,0.01,0.7272727272727273,0.4
10,5,0.01,0.6363636363636364,0.0
10,3,0.01,0.6363636363636364,0.0
