n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.05,0.9433962264150944,0.961038961038961
30,5,0.05,0.9245283018867925,0.9473684210526315
30,3,0.1,0.9245283018867925,0.9473684210526315
20,3,0.1,0.9245283018867925,0.9473684210526315
20,3,0.05,0.9245283018867925,0.9473684210526315
10,3,0.1,0.9245283018867925,0.9473684210526315
10,5,0.05,0.9056603773584906,0.9382716049382716
20,5,0.05,0.9056603773584906,0.935064935064935
10,5,0.1,0.9056603773584906,0.9333333333333333
10,3,0.05,0.8867924528301887,0.926829268292683
20,5,0.1,0.8867924528301887,0.9210526315789473
30,5,0.1,0.8867924528301887,0.9210526315789473
30,5,0.01,0.8113207547169812,0.8837209302325582
30,3,0.01,0.7735849056603774,0.8636363636363636
10,5,0.01,0.7169811320754716,0.8351648351648352
20,5,0.01,0.7169811320754716,0.8351648351648352
20,3,0.01,0.7169811320754716,0.8351648351648352
10,3,0.01,0.7169811320754716,0.8351648351648352
