n_estimators,max_depth,learning_rate,accuracy,f1_score
10,3,0.01,0.8888888888888888,0.9411764705882353
20,3,0.05,0.8888888888888888,0.9411764705882353
10,5,0.1,0.8888888888888888,0.9411764705882353
10,3,0.1,0.8888888888888888,0.9411764705882353
30,5,0.05,0.8888888888888888,0.9411764705882353
30,3,0.05,0.8888888888888888,0.9411764705882353
10,5,0.01,0.8888888888888888,0.9411764705882353
20,5,0.05,0.8888888888888888,0.9411764705882353
10,5,0.05,0.8888888888888888,0.9411764705882353
10,3,0.05,0.8888888888888888,0.9411764705882353
30,5,0.01,0.8888888888888888,0.9411764705882353
30,3,0.01,0.8888888888888888,0.9411764705882353
20,5,0.01,0.8888888888888888,0.9411764705882353
20,3,0.01,0.8888888888888888,0.9411764705882353
20,3,0.1,0.7777777777777778,0.875
20,5,0.1,0.7777777777777778,0.875
30,3,0.1,0.7777777777777778,0.875
30,5,0.1,0.7777777777777778,0.875
