n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.7142857142857143,0.6666666666666666
10,5,0.1,0.7142857142857143,0.6666666666666666
20,5,0.1,0.7142857142857143,0.6666666666666666
30,3,0.01,0.7142857142857143,0.6666666666666666
30,5,0.01,0.7142857142857143,0.6666666666666666
10,3,0.05,0.7142857142857143,0.6666666666666666
10,5,0.05,0.7142857142857143,0.6666666666666666
20,3,0.05,0.7142857142857143,0.6666666666666666
20,3,0.1,0.7142857142857143,0.6666666666666666
30,3,0.05,0.7142857142857143,0.6666666666666666
30,5,0.05,0.7142857142857143,0.6666666666666666
10,3,0.1,0.7142857142857143,0.6666666666666666
30,3,0.1,0.5714285714285714,0.5714285714285714
30,5,0.1,0.5714285714285714,0.5714285714285714
10,5,0.01,0.5714285714285714,0.0
20,5,0.01,0.5714285714285714,0.0
20,3,0.01,0.5714285714285714,0.0
10,3,0.01,0.5714285714285714,0.0
