n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,1.0,1.0
30,3,0.05,1.0,1.0
30,3,0.1,1.0,1.0
20,5,0.1,1.0,1.0
20,3,0.1,1.0,1.0
10,5,0.1,1.0,1.0
10,3,0.1,1.0,1.0
30,5,0.05,1.0,1.0
30,5,0.1,1.0,1.0
20,3,0.05,1.0,1.0
10,5,0.05,0.9375,0.9230769230769231
10,3,0.05,0.9375,0.9230769230769231
30,5,0.01,0.9375,0.9230769230769231
30,3,0.01,0.9375,0.9230769230769231
20,5,0.01,0.9375,0.9230769230769231
20,3,0.01,0.9375,0.9230769230769231
10,5,0.01,0.875,0.8571428571428571
10,3,0.01,0.875,0.8571428571428571
