n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.6,0.6
30,3,0.1,0.6,0.6
20,5,0.1,0.6,0.6
20,3,0.1,0.6,0.6
10,5,0.1,0.6,0.6
10,3,0.1,0.6,0.6
30,3,0.05,0.55,0.5263157894736842
30,5,0.05,0.55,0.5263157894736842
20,5,0.05,0.55,0.5263157894736842
20,3,0.05,0.55,0.5263157894736842
10,5,0.05,0.45,0.35294117647058826
10,3,0.05,0.45,0.35294117647058826
10,5,0.01,0.35,0.23529411764705882
30,5,0.01,0.35,0.23529411764705882
30,3,0.01,0.35,0.23529411764705882
20,5,0.01,0.35,0.23529411764705882
20,3,0.01,0.35,0.23529411764705882
10,3,0.01,0.35,0.23529411764705882
