n_estimators,max_depth,learning_rate,accuracy,f1_score
20,3,0.05,0.9,0.8235294117647058
20,3,0.1,0.9,0.8235294117647058
10,5,0.1,0.9,0.8235294117647058
10,3,0.1,0.9,0.8235294117647058
30,5,0.1,0.9,0.8
30,3,0.1,0.8666666666666667,0.75
30,3,0.05,0.8666666666666667,0.75
20,5,0.05,0.8666666666666667,0.75
20,5,0.01,0.8,0.75
30,5,0.05,0.8666666666666667,0.7142857142857143
20,5,0.1,0.8666666666666667,0.7142857142857143
10,5,0.05,0.8,0.7
10,3,0.05,0.8,0.7
30,5,0.01,0.8,0.7
10,5,0.01,0.7333333333333333,0.6923076923076923
30,3,0.01,0.7666666666666667,0.6666666666666666
20,3,0.01,0.7666666666666667,0.6666666666666666
10,3,0.01,0.5666666666666667,0.5806451612903226
