n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.1,0.9210526315789473,0.9230769230769231
30,5,0.1,0.8947368421052632,0.9
30,5,0.05,0.8947368421052632,0.9
20,5,0.1,0.868421052631579,0.8717948717948718
30,3,0.05,0.868421052631579,0.8648648648648649
20,3,0.1,0.868421052631579,0.8648648648648649
10,5,0.1,0.868421052631579,0.8648648648648649
10,3,0.1,0.868421052631579,0.8648648648648649
20,5,0.05,0.868421052631579,0.8648648648648649
20,3,0.05,0.868421052631579,0.8648648648648649
10,5,0.01,0.8421052631578947,0.8421052631578947
10,5,0.05,0.8421052631578947,0.8421052631578947
10,3,0.05,0.8421052631578947,0.8421052631578947
30,5,0.01,0.8421052631578947,0.8421052631578947
30,3,0.01,0.8421052631578947,0.8421052631578947
20,5,0.01,0.8421052631578947,0.8421052631578947
20,3,0.01,0.8421052631578947,0.8421052631578947
10,3,0.01,0.8421052631578947,0.8421052631578947
