n_estimators,max_depth,learning_rate,accuracy,f1_score
30,3,0.1,0.7142857142857143,0.5652173913043478
20,3,0.1,0.7142857142857143,0.5454545454545454
30,5,0.1,0.7142857142857143,0.5238095238095238
30,3,0.05,0.7,0.5116279069767442
30,5,0.05,0.7,0.5116279069767442
20,5,0.1,0.7,0.4878048780487805
10,3,0.1,0.6857142857142857,0.47619047619047616
20,3,0.05,0.6857142857142857,0.45
10,5,0.1,0.6857142857142857,0.42105263157894735
20,5,0.05,0.6714285714285714,0.41025641025641024
10,5,0.05,0.6571428571428571,0.29411764705882354
10,5,0.01,0.6,0.0
10,3,0.05,0.6,0.0
30,5,0.01,0.6,0.0
30,3,0.01,0.6,0.0
20,5,0.01,0.6,0.0
20,3,0.01,0.6,0.0
10,3,0.01,0.6,0.0
