n_estimators,max_depth,learning_rate,accuracy,f1_score
30,5,0.1,0.71875,0.6896551724137931
30,3,0.1,0.71875,0.6896551724137931
20,5,0.1,0.71875,0.6896551724137931
20,3,0.1,0.71875,0.6896551724137931
10,5,0.05,0.6875,0.6666666666666666
20,3,0.05,0.6875,0.6666666666666666
20,5,0.05,0.6875,0.6666666666666666
10,3,0.05,0.6875,0.6666666666666666
30,5,0.05,0.6875,0.6428571428571429
30,3,0.05,0.65625,0.6206896551724138
10,3,0.1,0.65625,0.6206896551724138
10,5,0.1,0.65625,0.6206896551724138
30,5,0.01,0.65625,0.5925925925925926
30,3,0.01,0.65625,0.5925925925925926
20,5,0.01,0.65625,0.5925925925925926
20,3,0.01,0.65625,0.5925925925925926
10,5,0.01,0.625,0.5384615384615384
10,3,0.01,0.625,0.5384615384615384
