n_estimators,max_depth,learning_rate,accuracy,f1_score
20,5,0.05,0.8679245283018868,0.9195402298850575
30,3,0.05,0.8679245283018868,0.9195402298850575
20,5,0.1,0.8679245283018868,0.9135802469135802
30,3,0.1,0.8679245283018868,0.9113924050632911
30,5,0.1,0.8679245283018868,0.9113924050632911
20,3,0.05,0.8301886792452831,0.9032258064516129
10,3,0.1,0.8301886792452831,0.9010989010989011
30,5,0.01,0.8113207547169812,0.8958333333333334
10,5,0.01,0.8113207547169812,0.8958333333333334
30,3,0.01,0.8113207547169812,0.8958333333333334
20,5,0.01,0.8113207547169812,0.8958333333333334
20,3,0.01,0.8113207547169812,0.8958333333333334
10,3,0.01,0.8113207547169812,0.8958333333333334
10,5,0.1,0.8301886792452831,0.8941176470588236
30,5,0.05,0.8301886792452831,0.891566265060241
10,3,0.05,0.7924528301886793,0.8842105263157894
10,5,0.05,0.7924528301886793,0.8842105263157894
20,3,0.1,0.8113207547169812,0.8780487804878049
